algorithm,playlist,time
SMS-EMOA,1000653,1501982
NOOP,1029659,8696
m-ACO,1000093,2166412
NSGA-II,1020467,2568759
m-ACO,1008728,3449963
NSGA-II,1010211,3121391
m-ACO,1001198,1576732
m-ACO,1004895,432885
NOOP,1000642,9311
SMS-EMOA,1004655,5486286
m-ACO,1010480,9746136
SMS-EMOA,1005316,6133409
SMS-EMOA,1007990,5057334
m-ACO,1012885,432180
NOOP,1004571,6436
NSGA-II,1006879,3997771
NSGA-II,1003827,3268532
m-ACO,1006490,490811
m-ACO,1007087,428654
SMS-EMOA,1031933,2340267
NSGA-II,1009701,3188140
m-ACO,1003881,4319351
NSGA-II,1012678,2655380
SMS-EMOA,1002080,1249893
NSGA-II,1017187,2562097
SMS-EMOA,1003262,4538535
SMS-EMOA,1002721,4249914
NOOP,1003857,8406
NSGA-II,1003169,2128114
NSGA-II,1007474,2868019
m-ACO,1008658,3475879
m-ACO,1015891,370546
NOOP,1003842,4974
NOOP,1006078,2884
NSGA-II,1005953,6075531
m-ACO,1001484,4112054
m-ACO,1008234,5087000
SMS-EMOA,1022150,5255029
NOOP,1004739,4628
NSGA-II,1007180,2852459
SMS-EMOA,1012726,5065585
SMS-EMOA,1013265,4813766
NSGA-II,1007621,2788531
NSGA-II,1006362,3614754
m-ACO,1008273,5097928
SMS-EMOA,1003037,5190289
SMS-EMOA,1002574,3880029
NOOP,1012877,5645
m-ACO,1009378,3234615
SMS-EMOA,1000853,1240184
NOOP,1010693,31211
m-ACO,1009714,8112161
NSGA-II,1008017,2810455
NOOP,1008981,7556
NOOP,1040057,8363
m-ACO,1009208,3338245
m-ACO,1048588,395550
NSGA-II,1001755,3231277
NOOP,1011677,6079
SMS-EMOA,1004400,4878420
SMS-EMOA,1005143,6001026
NSGA-II,1008959,2936311
NSGA-II,1013820,2599137
NOOP,1002116,4596
SMS-EMOA,1006927,5640592
SMS-EMOA,1003979,3196844
m-ACO,1001021,1574919
NOOP,1013537,8329
m-ACO,1008691,3185770
m-ACO,1010155,9082236
NOOP,1013522,8253
SMS-EMOA,1009275,4645307
m-ACO,1005827,352436
m-ACO,1010539,9526583
SMS-EMOA,1027285,4962076
m-ACO,1048476,411431
NOOP,1004165,7435
NSGA-II,1006748,4063838
NSGA-II,1002255,3267419
NSGA-II,1003716,2160957
NSGA-II,1011863,2680977
m-ACO,1002943,4228889
SMS-EMOA,1006443,5295878
SMS-EMOA,1007100,5979718
m-ACO,1003848,443450
NSGA-II,1013544,3028790
NOOP,1000256,4951
m-ACO,1006529,374345
SMS-EMOA,1004964,4994085
NOOP,1000243,22439
m-ACO,1003938,4304108
m-ACO,1006035,609586
m-ACO,1013947,502237
m-ACO,1017141,412066
SMS-EMOA,1010765,4231086
NSGA-II,1004480,1747718
NSGA-II,1035014,7940714
NSGA-II,1005662,7015525
NSGA-II,1004321,2827948
NOOP,1006479,6981
m-ACO,1005957,387927
NSGA-II,1017917,2635825
SMS-EMOA,1005569,5680629
SMS-EMOA,1001074,879633
SMS-EMOA,1000537,1887261
NSGA-II,1012949,3184747
m-ACO,1001151,4474203
NOOP,1008425,3656
m-ACO,1022015,422203
SMS-EMOA,1002810,4313691
SMS-EMOA,1000296,1521988
NOOP,1005194,5450
NOOP,1005181,11422
m-ACO,1010449,9342099
NOOP,1005831,5277
SMS-EMOA,1001221,1609062
NOOP,1028578,8713
NOOP,1010292,6592
m-ACO,1006072,392697
NOOP,1005824,8660
NSGA-II,1005437,2696129
NSGA-II,1004174,3300935
m-ACO,1048541,176040
m-ACO,1026854,343923
m-ACO,1000471,489667
NSGA-II,1000469,3223550
SMS-EMOA,1010291,5123471
NOOP,1009689,3496
NSGA-II,1035241,7782260
m-ACO,1011505,9172701
NSGA-II,1005396,2604685
m-ACO,1001116,1530762
SMS-EMOA,1011073,4665715
m-ACO,1005910,399607
NOOP,1002517,4685
SMS-EMOA,1035804,5547553
NOOP,1037759,8892
m-ACO,1000501,8535185
NOOP,1008678,5385
NSGA-II,1008668,2802977
NSGA-II,1012252,3095865
NOOP,1002502,7077
m-ACO,1005860,377215
SMS-EMOA,1003648,3361678
NSGA-II,1002000,3312745
NSGA-II,1003543,2185149
NOOP,1006624,10127
NOOP,1006631,6752
SMS-EMOA,1012159,2649598
NSGA-II,1001864,3284950
m-ACO,1006102,395496
SMS-EMOA,1009020,4924714
m-ACO,1047682,488356
m-ACO,1013870,422126
m-ACO,1002904,4290266
m-ACO,1001697,1623112
m-ACO,1008027,4993115
NOOP,1010608,4932
NOOP,1047612,8299
NOOP,1000484,6324
NSGA-II,1005855,7792241
NSGA-II,1006790,4019662
NOOP,1000491,8062
NOOP,1006953,4150
NSGA-II,1022108,2575606
NOOP,1006946,4427
SMS-EMOA,1003364,5019424
SMS-EMOA,1002627,3890556
NOOP,1003169,3535
NSGA-II,1030733,4426931
m-ACO,1006683,419611
NSGA-II,1001406,855835
NOOP,1012301,5468
SMS-EMOA,1008901,5097811
NSGA-II,1004458,2632295
NOOP,1005746,3487
SMS-EMOA,1041864,5385511
NSGA-II,1003921,3271684
NOOP,1005753,6222
SMS-EMOA,1015042,5549458
NSGA-II,1012991,1753448
NSGA-II,1011654,2713043
m-ACO,1010693,324405
SMS-EMOA,1004753,5698015
SMS-EMOA,1005210,5845760
m-ACO,1000280,2089412
NOOP,1001475,7177
m-ACO,1009430,3311121
NOOP,1001460,4288
NOOP,1003334,7679
NSGA-II,1020095,2568119
SMS-EMOA,1001558,1740527
NSGA-II,1013926,3389506
NOOP,1003321,5645
SMS-EMOA,1004506,4394516
SMS-EMOA,1005045,5763106
NOOP,1033940,8301
NSGA-II,1021277,2694466
NSGA-II,1011401,2729154
SMS-EMOA,1017891,5480332
SMS-EMOA,1010249,4509139
NOOP,1007007,6778
NOOP,1007012,181409
m-ACO,1009477,3644255
m-ACO,1033790,424827
NOOP,1002828,3096
NSGA-II,1002996,3328849
NSGA-II,1001653,3326065
NOOP,1040291,8509
m-ACO,1008110,5076309
NOOP,1001628,9127
SMS-EMOA,1003131,4688634
SMS-EMOA,1002472,4007556
NSGA-II,1027303,4381485
m-ACO,1008060,4978755
NOOP,1023034,9037
NSGA-II,1013068,2741175
SMS-EMOA,1000955,979933
SMS-EMOA,1003690,3213415
SMS-EMOA,1044480,5482071
NSGA-II,1002779,3387884
NSGA-II,1006264,7147221
NOOP,1012149,4458
m-ACO,1022206,411450
m-ACO,1000625,8582346
SMS-EMOA,1000431,1594904
m-ACO,1000249,2159537
NSGA-II,1022998,2654875
NOOP,1003568,4337
NSGA-II,1040853,5424768
NOOP,1009612,3253
NOOP,1011900,3036
SMS-EMOA,1002916,4699770
NSGA-II,1010568,2695964
NSGA-II,1014075,2673220
SMS-EMOA,1007948,5281650
m-ACO,1034216,173490
SMS-EMOA,1010663,4462365
NOOP,1010209,4387
SMS-EMOA,1011320,2792474
m-ACO,1024269,826474
NSGA-II,1028851,4964616
m-ACO,1006226,392953
NSGA-II,1005764,7731492
NSGA-II,1001279,892057
NOOP,1000085,3242
NSGA-II,1023595,2642849
SMS-EMOA,1002058,1362415
m-ACO,1024775,412884
NSGA-II,1023234,3459581
NOOP,1001061,11459
SMS-EMOA,1004862,5680341
NOOP,1001074,3764
NSGA-II,1009078,3213022
NSGA-II,1013442,2641145
NOOP,1012700,7416
SMS-EMOA,1009373,4839773
m-ACO,1000755,30945403
NSGA-II,1036799,7771030
m-ACO,1011621,593075
NOOP,1012715,5783
NSGA-II,1002353,3621990
NOOP,1002599,4365
m-ACO,1001232,1611789
m-ACO,1009589,3310890
NOOP,1005347,8605
m-ACO,1006311,489017
NSGA-II,1029609,4513838
SMS-EMOA,1009687,13097397
NSGA-II,1007158,2788414
NOOP,1007406,4437
NSGA-II,1003445,3231789
NSGA-II,1001962,3182594
NSGA-II,1013617,3091022
m-ACO,1001275,5779348
NSGA-II,1038118,8110849
NOOP,1049012,8071
m-ACO,1011666,590142
m-ACO,1000712,8470250
m-ACO,1001305,4448810
SMS-EMOA,1012911,7258566
NSGA-II,1004072,2161319
SMS-EMOA,1009868,4731488
SMS-EMOA,1021703,5152276
NOOP,1000935,3988
m-ACO,1000662,8562978
NSGA-II,1002848,2182329
SMS-EMOA,1011175,4841681
NSGA-II,1005290,2642909
NSGA-II,1007816,3896894
NOOP,1000920,3761
NOOP,1001229,8308
NSGA-II,1008981,2809036
SMS-EMOA,1001486,1707353
NSGA-II,1042080,2121217
m-ACO,1006261,417491
SMS-EMOA,1004379,6061289
SMS-EMOA,1001327,1560143
SMS-EMOA,1000664,2247940
NSGA-II,1026971,4758494
SMS-EMOA,1004662,6184508
SMS-EMOA,1005321,5412720
NSGA-II,1010587,2708389
NOOP,1027967,8578
SMS-EMOA,1005480,6130792
m-ACO,1002698,27207453
m-ACO,1003793,4291896
NOOP,1004467,3460
NSGA-II,1001296,1016769
NOOP,1004472,4714
NSGA-II,1030602,4345377
NOOP,1013035,8810
m-ACO,1009841,6950990
SMS-EMOA,1008830,5209073
NSGA-II,1004569,2887302
SMS-EMOA,1003255,2844261
SMS-EMOA,1002716,4313445
NSGA-II,1022798,2544156
NSGA-II,1043996,2086895
NOOP,1002248,5882
NSGA-II,1016352,2555970
NSGA-II,1009736,3082151
m-ACO,1004787,545263
m-ACO,1002384,1768426
NOOP,1026996,8937
NSGA-II,1005964,4692470
SMS-EMOA,1013007,5039429
NOOP,1033320,8345
NOOP,1003941,7922
NSGA-II,1006100,6831974
NOOP,1011529,3109
m-ACO,1012797,475904
SMS-EMOA,1010863,4475593
NSGA-II,1018272,2559417
NSGA-II,1007616,2882038
NSGA-II,1006355,3695636
m-ACO,1009976,7181221
SMS-EMOA,1021903,5428606
NOOP,1023809,8095
NOOP,1008882,5179
m-ACO,1021287,374875
NSGA-II,1008020,2917256
m-ACO,1047829,113406
SMS-EMOA,1000864,1503101
NOOP,1012974,8105
SMS-EMOA,1003000,5673734
SMS-EMOA,1002543,4429917
NOOP,1011774,3357
NOOP,1009873,5925
NSGA-II,1000221,864388
NSGA-II,1001762,3274054
m-ACO,1038538,422159
NOOP,1011761,4854
NSGA-II,1000580,1011311
NOOP,1013990,8577
NOOP,1013985,8534
NOOP,1015447,8769
m-ACO,1009806,6729764
NSGA-II,1011530,3132178
m-ACO,1045130,391124
NOOP,1042448,8568
SMS-EMOA,1006910,5537618
NOOP,1020609,8316
NSGA-II,1046572,2100175
NOOP,1002000,23640
SMS-EMOA,1001469,1404443
NSGA-II,1013817,3048401
SMS-EMOA,1004437,5621690
m-ACO,1036680,418893
NSGA-II,1002262,3259355
m-ACO,1012332,472018
NOOP,1004073,9104
NOOP,1004066,7650
m-ACO,1003246,423545
SMS-EMOA,1013678,7138038
m-ACO,1013655,449030
m-ACO,1002721,3736700
NOOP,1001849,3718
NOOP,1000340,8155
m-ACO,1004322,415759
m-ACO,1005229,389871
NSGA-II,1012030,2579551
NOOP,1000355,6145
SMS-EMOA,1029666,5217912
m-ACO,1027266,290764
NSGA-II,1012791,2627612
SMS-EMOA,1002169,4291050
NSGA-II,1004316,2637037
m-ACO,1004252,408081
NOOP,1011128,114468
SMS-EMOA,1010752,4564885
m-ACO,1008983,3241754
NSGA-II,1036847,7909860
m-ACO,1005735,430801
m-ACO,1003336,233621
NOOP,1002649,5786
SMS-EMOA,1035489,3434786
NOOP,1005082,39892
SMS-EMOA,1002827,4985386
NOOP,1005097,2931
NSGA-II,1014144,2636413
NSGA-II,1015407,2875230
SMS-EMOA,1007879,4573853
SMS-EMOA,1048687,5290641
m-ACO,1002651,3758105
m-ACO,1013725,437715
SMS-EMOA,1001043,1381671
SMS-EMOA,1000500,1516117
m-ACO,1020272,354353
NSGA-II,1017920,2590183
NOOP,1005927,7006
SMS-EMOA,1004248,5437424
SMS-EMOA,1001216,1668029
SMS-EMOA,1000755,1659705
SMS-EMOA,1031460,7680342
m-ACO,1004679,414163
SMS-EMOA,1030123,5262888
m-ACO,1004215,412712
NOOP,1013669,8289
SMS-EMOA,1045862,5474360
NSGA-II,1002979,3239223
NOOP,1019506,8265
SMS-EMOA,1011044,4352467
m-ACO,1002616,1844856
NSGA-II,1007927,4086601
m-ACO,1012205,411194
m-ACO,1003371,422227
NSGA-II,1005400,2666810
NSGA-II,1004143,3233948
SMS-EMOA,1009959,4745285
NOOP,1012698,8046
m-ACO,1002766,3720660
SMS-EMOA,1006621,6262259
NOOP,1048333,8870
m-ACO,1013612,278637
NSGA-II,1038788,5629782
NSGA-II,1012265,2665609
m-ACO,1003201,4218620
SMS-EMOA,1006180,6033056
NOOP,1010869,4250
NOOP,1002414,7719
SMS-EMOA,1035833,3468322
m-ACO,1004709,322584
NOOP,1011360,7545
SMS-EMOA,1022718,5055163
SMS-EMOA,1008554,4771436
NSGA-II,1002796,3317843
NSGA-II,1001853,3185842
NOOP,1006732,7085
NSGA-II,1048936,2144144
NOOP,1006727,4776
m-ACO,1004365,396037
NSGA-II,1002037,3276354
SMS-EMOA,1001485,1855373
m-ACO,1002967,4560152
NOOP,1001841,3375
m-ACO,1006161,389567
m-ACO,1035436,403695
m-ACO,1013813,432672
NOOP,1044433,8278
SMS-EMOA,1000667,1142894
SMS-EMOA,1005639,6153916
m-ACO,1007406,4769766
m-ACO,1004908,5165867
m-ACO,1001005,1710067
NSGA-II,1005532,2602768
NSGA-II,1004071,2125712
m-ACO,1005803,321445
SMS-EMOA,1012912,4996525
m-ACO,1000562,8666320
NOOP,1007583,5550
m-ACO,1011416,8789660
NSGA-II,1005293,2595940
m-ACO,1001469,3628054
m-ACO,1005973,383617
NSGA-II,1013614,3049021
NSGA-II,1012357,3057580
SMS-EMOA,1006713,5372370
NOOP,1006567,3495
SMS-EMOA,1000888,1875871
m-ACO,1011566,9100821
m-ACO,1033145,414386
NOOP,1039453,10751
NOOP,1006572,6671
m-ACO,1000412,10165069
NSGA-II,1047993,2097918
NSGA-II,1048804,2052604
m-ACO,1006011,387805
NSGA-II,1003446,2142140
SMS-EMOA,1009684,12956106
m-ACO,1012868,397384
NSGA-II,1006418,4037865
NOOP,1002654,5231
m-ACO,1007576,4999378
SMS-EMOA,1038210,3628764
NOOP,1002641,5321
SMS-EMOA,1009370,4446508
SMS-EMOA,1008633,4380460
NOOP,1000115,3363
m-ACO,1011521,8903685
NOOP,1000100,6467
NSGA-II,1005988,5925531
NSGA-II,1003613,3267032
m-ACO,1001132,1544604
m-ACO,1005934,388950
m-ACO,1000039,1703511
m-ACO,1010046,7217575
m-ACO,1009689,485575
NSGA-II,1033065,8343910
NOOP,1011890,3328
NOOP,1009797,3119
NOOP,1004226,3637
NOOP,1004233,59221
SMS-EMOA,1003518,3309637
NSGA-II,1011966,2706168
NSGA-II,1008299,2831661
SMS-EMOA,1006546,5682809
m-ACO,1002850,4288561
NOOP,1013661,7902
NSGA-II,1013441,2621305
NOOP,1034847,8039
m-ACO,1006056,398729
SMS-EMOA,1004861,6073580
m-ACO,1013924,496311
NSGA-II,1000098,1819235
m-ACO,1007441,4633216
NSGA-II,1004585,2855402
NOOP,1002409,5009
NOOP,1010874,4325
m-ACO,1013854,436191
NSGA-II,1000739,806008
NOOP,1020215,8095
m-ACO,1006126,379602
NOOP,1012685,7409
NSGA-II,1005767,8477672
NSGA-II,1004224,2808195
NOOP,1012690,7695
m-ACO,1009395,3250887
NSGA-II,1009935,3183893
m-ACO,1026900,318345
SMS-EMOA,1001171,1344640
SMS-EMOA,1000432,1152341
m-ACO,1000149,2340135
m-ACO,1001042,928426
NSGA-II,1011028,1835825
NSGA-II,1007085,3991419
SMS-EMOA,1008219,5045614
NSGA-II,1003598,2147749
NOOP,1022155,8652
NSGA-II,1034936,6646892
m-ACO,1046653,1247510
NOOP,1007182,2827
NSGA-II,1006267,7093776
NSGA-II,1003239,3234350
NSGA-II,1037152,6393428
m-ACO,1019678,477545
NOOP,1013028,8838
SMS-EMOA,1003132,4565824
SMS-EMOA,1019508,7709349
m-ACO,1008360,3213358
SMS-EMOA,1000956,1552030
SMS-EMOA,1003693,3433121
NSGA-II,1008112,2848515
NSGA-II,1009451,2651931
SMS-EMOA,1005908,5938160
SMS-EMOA,1024121,4979426
NSGA-II,1000313,3182435
NSGA-II,1001650,3803795
NOOP,1002240,4782
m-ACO,1008210,5116418
NOOP,1002255,8010
NOOP,1011521,5369
NOOP,1003949,3765
SMS-EMOA,1004505,5991152
NSGA-II,1013925,2639810
NOOP,1011534,2889
m-ACO,1047628,466764
NOOP,1006173,3439
m-ACO,1031895,481740
SMS-EMOA,1018905,5631578
NSGA-II,1011402,3107987
NOOP,1006166,5858
NSGA-II,1011657,3168057
NOOP,1031469,8407
NSGA-II,1014609,2133923
NSGA-II,1021021,2608350
m-ACO,1010593,582285
NOOP,1004627,2862
m-ACO,1000180,2067974
SMS-EMOA,1005213,5878764
m-ACO,1004986,387983
NOOP,1013275,7976
NOOP,1000501,6170
NOOP,1000514,5058
m-ACO,1006583,378861
NOOP,1012969,8694
NSGA-II,1001405,799261
SMS-EMOA,1041867,5252343
NOOP,1010798,4332
SMS-EMOA,1044839,6134878
NSGA-II,1003922,2156876
SMS-EMOA,1006498,3961793
NSGA-II,1009604,2698559
SMS-EMOA,1002185,4348281
SMS-EMOA,1031836,5056959
NOOP,1013998,8311
SMS-EMOA,1006339,5193152
m-ACO,1007194,4669105
m-ACO,1002899,4305433
NOOP,1011769,5887
SMS-EMOA,1002624,4471676
NOOP,1029096,7942
m-ACO,1003992,337172
NOOP,1002008,5146
NOOP,1008372,3391
NSGA-II,1037307,7153087
SMS-EMOA,1010951,4606681
NSGA-II,1007571,10567489
NSGA-II,1006032,5902156
m-ACO,1011184,8619235
SMS-EMOA,1023743,5334145
NOOP,1007827,19410
SMS-EMOA,1013135,4808796
NSGA-II,1005856,7647354
NOOP,1012284,6124
NSGA-II,1006793,4046298
NOOP,1042455,8663
NOOP,1011908,3620
NOOP,1003575,3591
m-ACO,1004409,414690
m-ACO,1005502,448395
SMS-EMOA,1016470,4613469
m-ACO,1000863,1452440
NOOP,1043128,8587
NOOP,1014132,8090
m-ACO,1011917,592582
NSGA-II,1002034,3379032
SMS-EMOA,1011909,4442777
NSGA-II,1006529,4153817
SMS-EMOA,1007361,4701953
m-ACO,1012419,556866
m-ACO,1002466,1819192
m-ACO,1013512,500576
NOOP,1000098,8425
NOOP,1007653,4070
m-ACO,1003101,4310371
NSGA-II,1017238,2605497
SMS-EMOA,1006183,2936796
NSGA-II,1013725,2629123
NOOP,1010201,4874
NSGA-II,1023153,2566323
NSGA-II,1022410,2552649
m-ACO,1002516,1793599
NSGA-II,1019803,2544126
SMS-EMOA,1014019,4581424
m-ACO,1012569,467379
NOOP,1001069,4690
NOOP,1004853,4417
NOOP,1004846,4821
NSGA-II,1004140,2087725
NOOP,1023660,8130
SMS-EMOA,1001215,1557147
SMS-EMOA,1000756,1488276
NOOP,1002584,8379
SMS-EMOA,1005708,6081734
NOOP,1002591,124748
SMS-EMOA,1030120,7966757
NOOP,1030101,8081
m-ACO,1004115,427639
m-ACO,1011867,474701
m-ACO,1045695,627782
NOOP,1012708,6366
NSGA-II,1014147,2654793
SMS-EMOA,1002824,4519970
m-ACO,1002551,3767832
m-ACO,1024974,413464
m-ACO,1013425,411214
SMS-EMOA,1001040,1205602
SMS-EMOA,1000503,1018612
m-ACO,1005059,448420
NSGA-II,1000608,1017318
NSGA-II,1005656,7107279
NSGA-II,1004315,2932850
NSGA-II,1006993,3969922
SMS-EMOA,1011212,5055234
SMS-EMOA,1013894,4545623
m-ACO,1005435,444959
m-ACO,1004022,425594
NOOP,1012555,7029
m-ACO,1011950,600878
m-ACO,1037575,477361
NOOP,1000928,4607
NSGA-II,1013570,2634920
SMS-EMOA,1004950,5700176
m-ACO,1005129,447286
m-ACO,1026401,338211
NOOP,1042391,8182
m-ACO,1000824,1949524
NOOP,1012540,7728
m-ACO,1005545,406000
NOOP,1037597,7918
NSGA-II,1012792,2648526
SMS-EMOA,1006477,6055127
NSGA-II,1002261,3415772
NSGA-II,1003722,2144848
m-ACO,1012032,386153
m-ACO,1013139,435895
m-ACO,1003146,4321460
NOOP,1023428,8062
m-ACO,1013555,640029
SMS-EMOA,1012338,4712933
NOOP,1001234,5617
NSGA-II,1003083,3264811
m-ACO,1002421,1786086
NOOP,1001221,11162
NOOP,1000499,5875
SMS-EMOA,1000688,1566935
NOOP,1008907,7074
NOOP,1010615,4910
SMS-EMOA,1004434,5655602
SMS-EMOA,1005177,5755663
NOOP,1008912,5438
NSGA-II,1013814,2666096
SMS-EMOA,1000129,1105294
NOOP,1003161,8197
NSGA-II,1001761,3196411
m-ACO,1028647,200152
NOOP,1003174,5496
SMS-EMOA,1042367,5261942
NSGA-II,1000583,811662
SMS-EMOA,1009884,3984141
NOOP,1002190,10093
NSGA-II,1012419,2956687
NOOP,1002185,5928
NSGA-II,1008023,2887568
NSGA-II,1009560,2859137
SMS-EMOA,1005839,4581250
SMS-EMOA,1033675,3593732
SMS-EMOA,1003003,5134856
SMS-EMOA,1002540,4383961
NSGA-II,1015960,2861111
SMS-EMOA,1008489,5210585
NSGA-II,1007615,2838063
NOOP,1013815,8271
NOOP,1001468,7565
NSGA-II,1003308,2155707
NOOP,1039397,8282
NSGA-II,1028407,4712428
NOOP,1013800,8441
NSGA-II,1019093,2576763
SMS-EMOA,1008328,4399097
SMS-EMOA,1013251,5028870
SMS-EMOA,1026479,5141274
NSGA-II,1037597,7834439
NSGA-II,1000939,1139977
NOOP,1003329,5338
NSGA-II,1006103,5726566
NOOP,1009046,5647
m-ACO,1012497,405073
NOOP,1010448,9390
SMS-EMOA,1006208,5703881
m-ACO,1011999,393086
SMS-EMOA,1003256,2816882
SMS-EMOA,1002715,4248973
NOOP,1002820,6006
NOOP,1047447,9106
NSGA-II,1009735,1762238
NSGA-II,1038400,5669452
m-ACO,1004487,408685
m-ACO,1005090,451392
NOOP,1041268,8251
NSGA-II,1001295,1052062
m-ACO,1001896,3702935
SMS-EMOA,1008833,3770732
NSGA-II,1005029,2768908
SMS-EMOA,1014392,4628157
NSGA-II,1014099,2636395
SMS-EMOA,1004661,5855434
SMS-EMOA,1005322,5347194
NSGA-II,1011766,2731092
NSGA-II,1010225,2740840
NOOP,1005513,3605
m-ACO,1002598,1490606
NOOP,1005506,5550
NOOP,1037196,8656
m-ACO,1004306,406240
SMS-EMOA,1003995,3263595
SMS-EMOA,1001313,1451545
NOOP,1001957,2992
NOOP,1001942,4971
NSGA-II,1010709,2769217
m-ACO,1002369,3685933
NOOP,1035010,13452
NSGA-II,1007822,2835848
NOOP,1007480,3210
m-ACO,1003262,422735
NSGA-II,1001018,822354
NSGA-II,1004046,2161160
m-ACO,1002705,3705381
NOOP,1006471,3923
NSGA-II,1013182,2691365
SMS-EMOA,1002239,4025250
m-ACO,1002219,3697282
SMS-EMOA,1007267,11360184
m-ACO,1002675,1617663
SMS-EMOA,1002598,4092551
NOOP,1011036,4374
NSGA-II,1012360,2868477
SMS-EMOA,1006085,5950404
SMS-EMOA,1009112,4641013
SMS-EMOA,1008451,5004525
NOOP,1005189,21806
NOOP,1002742,5516
NSGA-II,1004908,2573358
NSGA-II,1002693,3301381
m-ACO,1004276,403211
NSGA-II,1002132,3186205
NSGA-II,1003471,3294856
SMS-EMOA,1013289,5056264
NOOP,1027780,8475
m-ACO,1005711,373705
m-ACO,1013746,418682
m-ACO,1003739,1328297
m-ACO,1002632,3764883
NOOP,1005839,6105
NOOP,1000003,5847
m-ACO,1030602,415032
NSGA-II,1007498,3256519
NOOP,1000016,6396
m-ACO,1003355,378978
SMS-EMOA,1009347,4326167
SMS-EMOA,1008604,3845947
m-ACO,1015729,397551
m-ACO,1005756,391353
SMS-EMOA,1001808,1300365
NOOP,1013777,8532
NSGA-II,1044395,2058377
NOOP,1009681,3464
SMS-EMOA,1006571,5413268
SMS-EMOA,1007032,6314543
m-ACO,1004231,388215
NSGA-II,1012694,2670878
NOOP,1004325,3938
NOOP,1011993,4418
m-ACO,1008890,3332145
NOOP,1012786,7780
NSGA-II,1005750,8448776
NSGA-II,1004213,2789133
NOOP,1010977,4066
m-ACO,1026762,355470
NOOP,1008670,5945
m-ACO,1004341,426747
NOOP,1010962,6703
SMS-EMOA,1011314,5078471
NOOP,1046271,8295
SMS-EMOA,1002922,3112798
NSGA-II,1014041,2646587
m-ACO,1002742,3588720
m-ACO,1003649,4319944
m-ACO,1013636,425666
m-ACO,1003225,4280670
SMS-EMOA,1001146,1078375
SMS-EMOA,1000405,1220573
NSGA-II,1009902,2669405
SMS-EMOA,1004118,2954717
m-ACO,1021606,390591
NOOP,1007094,4272
SMS-EMOA,1044315,5483982
SMS-EMOA,1024858,5109309
NSGA-II,1001888,3358710
NOOP,1007081,5438
NSGA-II,1019195,2601192
m-ACO,1009865,6736730
NSGA-II,1008125,2820512
m-ACO,1043550,811994
NSGA-II,1039210,5779965
SMS-EMOA,1002446,4475570
NSGA-II,1010838,2677024
NOOP,1002356,11656
NSGA-II,1004639,2863174
NOOP,1002343,7255
NOOP,1005588,3718
NSGA-II,1000324,873263
NOOP,1008039,6295
NSGA-II,1004198,2564559
NSGA-II,1000485,1009943
m-ACO,1046941,237936
NSGA-II,1011435,3109933
NSGA-II,1010176,2634373
NOOP,1006070,4687
m-ACO,1009915,7061993
NOOP,1011437,3253
SMS-EMOA,1005071,5672633
NOOP,1026138,8311
SMS-EMOA,1004767,5619071
SMS-EMOA,1005224,6192785
m-ACO,1003680,421989
SMS-EMOA,1001739,1259877
NSGA-II,1010482,2792909
NOOP,1004724,5206
m-ACO,1013293,418424
SMS-EMOA,1005585,6528329
NSGA-II,1010323,2727075
SMS-EMOA,1001098,1277944
NSGA-II,1003915,3250967
NOOP,1008989,5812
SMS-EMOA,1024343,5265996
NSGA-II,1000171,1107582
m-ACO,1005283,447109
SMS-EMOA,1014294,5287449
NOOP,1000417,6912
SMS-EMOA,1008935,4721322
NOOP,1000402,7140
SMS-EMOA,1046529,5797061
m-ACO,1004388,380266
NOOP,1036859,8230
SMS-EMOA,1036578,5370461
SMS-EMOA,1002613,3719689
m-ACO,1004694,416145
SMS-EMOA,1004988,4955206
NSGA-II,1038506,8240272
NOOP,1006238,5236
SMS-EMOA,1009538,4149523
SMS-EMOA,1013102,2971569
SMS-EMOA,1009299,4908873
m-ACO,1002297,2167219
NOOP,1008264,22975
NSGA-II,1002518,3327899
NSGA-II,1037330,5083647
m-ACO,1007765,6137921
NSGA-II,1002003,3308054
NSGA-II,1003540,2180549
SMS-EMOA,1026590,5471275
SMS-EMOA,1008560,4778965
SMS-EMOA,1017104,5675903
NSGA-II,1004839,2230707
NOOP,1009719,3335
NOOP,1003463,4425
SMS-EMOA,1013419,4921611
m-ACO,1006202,384663
NOOP,1003476,9165
NOOP,1010302,6903
m-ACO,1011775,488892
NSGA-II,1013712,2639090
NSGA-II,1009328,4213908
NOOP,1007750,6071
m-ACO,1001366,4505993
m-ACO,1011319,6738577
SMS-EMOA,1006615,5483494
m-ACO,1000771,2034680
SMS-EMOA,1012814,7079299
SMS-EMOA,1010292,4198936
NOOP,1004945,5943
NSGA-II,1005434,2493762
NSGA-II,1004177,2133026
m-ACO,1011605,467807
NOOP,1004950,4666
SMS-EMOA,1010533,5051804
m-ACO,1011269,6734212
m-ACO,1001216,1450613
SMS-EMOA,1021606,5868584
NSGA-II,1025010,5235489
SMS-EMOA,1048347,3192958
SMS-EMOA,1001583,1497331
m-ACO,1007615,6116639
NSGA-II,1010638,2720498
NOOP,1005259,7446
m-ACO,1006372,398563
NSGA-II,1010199,3072783
SMS-EMOA,1001222,1335739
m-ACO,1035625,407545
SMS-EMOA,1001077,1395534
SMS-EMOA,1000534,1020379
SMS-EMOA,1004029,3372462
NOOP,1007518,5775
SMS-EMOA,1031601,4844732
