algorithm,playlist,time
SMS-EMOA,1013877,4727483
NSGA-II,1004457,2644820
NOOP,1042623,8640
SMS-EMOA,1011550,4433696
SMS-EMOA,1010013,4210256
NOOP,1006158,4884
NSGA-II,1010318,2750458
SMS-EMOA,1007899,4441125
SMS-EMOA,1000241,1544351
NSGA-II,1027817,4781775
m-ACO,1005191,398310
NSGA-II,1003060,2174540
NSGA-II,1002523,3203514
SMS-EMOA,1013698,4726322
NOOP,1000777,4491
NOOP,1002993,4470
SMS-EMOA,1008040,5796525
SMS-EMOA,1013139,4817542
NSGA-II,1000804,863910
NSGA-II,1002282,3164955
SMS-EMOA,1002189,3850826
NSGA-II,1012771,1788555
NSGA-II,1013232,3028999
SMS-EMOA,1006494,2770312
NOOP,1004444,8082
NOOP,1021493,8596
SMS-EMOA,1002628,4016343
m-ACO,1002499,1453109
SMS-EMOA,1006335,5671792
SMS-EMOA,1029127,3582296
m-ACO,1003592,3843523
m-ACO,1002866,4293116
m-ACO,1024443,415356
NSGA-II,1013088,3114979
m-ACO,1017114,425000
NOOP,1008488,3613
m-ACO,1006060,420017
NSGA-II,1013729,2718447
NOOP,1027725,7972
NSGA-II,1008650,3107617
m-ACO,1007507,6093474
NOOP,1000916,5128
m-ACO,1001104,1843377
NSGA-II,1029096,4719698
m-ACO,1032453,416569
SMS-EMOA,1009018,4221059
NSGA-II,1004802,2724369
NSGA-II,1002799,3323896
SMS-EMOA,1013422,5030288
SMS-EMOA,1012161,4466492
NSGA-II,1036353,5823594
m-ACO,1001568,1363073
NSGA-II,1006525,3984546
NOOP,1023403,8399
SMS-EMOA,1013383,4880900
SMS-EMOA,1011905,4461895
m-ACO,1011517,8870892
NSGA-II,1002038,3305591
SMS-EMOA,1005704,5494869
SMS-EMOA,1004247,5377156
m-ACO,1005872,378915
m-ACO,1010100,8972687
m-ACO,1001074,1526056
m-ACO,1004979,392968
m-ACO,1011467,8747752
NSGA-II,1011340,2665578
m-ACO,1001418,5808273
NOOP,1010077,8241
m-ACO,1000513,7454485
NSGA-II,1021536,2557243
NOOP,1003716,7119
m-ACO,1013862,282006
SMS-EMOA,1010508,4538226
m-ACO,1012969,472681
SMS-EMOA,1014015,5042588
NSGA-II,1007928,3904229
NOOP,1003703,9536
m-ACO,1002916,382118
NSGA-II,1001112,796766
NSGA-II,1000451,963405
NSGA-II,1004319,2575375
NOOP,1016405,8462
NSGA-II,1000604,802645
m-ACO,1026971,353140
SMS-EMOA,1043202,5656624
m-ACO,1011420,8664294
m-ACO,1001033,2128782
SMS-EMOA,1014240,3709407
m-ACO,1010147,9164942
m-ACO,1009788,6866430
NOOP,1001042,4891
m-ACO,1005835,382161
m-ACO,1000138,2257511
SMS-EMOA,1002828,4723205
NSGA-II,1010456,2721098
NOOP,1012723,1199146
NSGA-II,1015408,2518363
SMS-EMOA,1007876,4727559
NOOP,1005364,3576
m-ACO,1013825,497124
NOOP,1005371,8433
NSGA-II,1009808,2760986
SMS-EMOA,1005551,5933063
m-ACO,1006157,427592
SMS-EMOA,1004012,3447492
NSGA-II,1006770,3958199
NOOP,1014119,8211
SMS-EMOA,1012334,4651917
NOOP,1011923,4894
m-ACO,1035570,108702
SMS-EMOA,1022542,5303052
NOOP,1009631,2580
NOOP,1011936,6015
m-ACO,1011550,9026253
NSGA-II,1008405,2693816
m-ACO,1000424,9606460
m-ACO,1009294,3405164
SMS-EMOA,1003384,4768371
m-ACO,1005945,383862
NOOP,1032436,8286
SMS-EMOA,1007138,10765073
NOOP,1007678,5138
NSGA-II,1005270,2685706
NOOP,1011492,5560
NOOP,1029378,8820
SMS-EMOA,1010377,5095779
NOOP,1011487,5488
SMS-EMOA,1049040,5595255
NOOP,1005538,2905
SMS-EMOA,1003941,3005892
SMS-EMOA,1000684,1120316
SMS-EMOA,1004399,4595366
m-ACO,1008261,5185851
SMS-EMOA,1030753,4909550
NOOP,1032987,8777
SMS-EMOA,1001466,1669183
NSGA-II,1008961,2909499
NOOP,1009078,6787
NSGA-II,1003304,3268175
NSGA-II,1002647,3326419
NSGA-II,1007619,2857630
SMS-EMOA,1046899,5560138
NOOP,1003317,4437
NOOP,1044181,8402
m-ACO,1008311,5116452
SMS-EMOA,1038552,3471064
SMS-EMOA,1005835,3718374
SMS-EMOA,1036627,2317800
NOOP,1010463,6602
SMS-EMOA,1007512,5084425
SMS-EMOA,1006051,4978380
NSGA-II,1010932,3177138
SMS-EMOA,1002719,4321649
m-ACO,1008356,3264818
m-ACO,1011599,466317
SMS-EMOA,1004882,5603098
SMS-EMOA,1006204,5257175
NSGA-II,1009098,2800589
NOOP,1007994,5330
m-ACO,1018329,409151
NOOP,1012337,7879
m-ACO,1000081,2516406
NOOP,1005770,5781
m-ACO,1041701,409808
