Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
NSGAII__100__25000__0_95__0_015,MPC_1005583,HV,1,0.11848229017736972
NSGAII__100__25000__0_95__0_015,MPC_1005583,HV,2,0.11261435088481489
NSGAII__100__25000__0_95__0_015,MPC_1046202,HV,0,0.743249509326489
NSGAII__100__25000__0_95__0_015,MPC_1046202,HV,1,0.734999518195709
NSGAII__100__25000__0_95__0_015,MPC_1046202,HV,2,0.7319140869215236
NSGAII__100__25000__0_95__0_015,MPC_1046653,HV,0,0.8313261838148187
NSGAII__100__25000__0_95__0_015,MPC_1046653,HV,1,0.8322258764837528
NSGAII__100__25000__0_95__0_015,MPC_1046653,HV,2,0.8257064206507967
NSGAII__100__25000__0_95__0_015,MPC_1001485,HV,0,0.7055145345829053
NSGAII__100__25000__0_95__0_015,MPC_1001485,HV,1,0.7029413496556609
NSGAII__100__25000__0_95__0_015,MPC_1001485,HV,2,0.6826680495008902
NSGAII__100__25000__0_95__0_015,MPC_1042576,HV,0,0.9630165807153833
NSGAII__100__25000__0_95__0_015,MPC_1042576,HV,1,0.959990707561425
NSGAII__100__25000__0_95__0_015,MPC_1042576,HV,2,0.9633379069261931
SMSEMOA__100__25000__0_85__0_005,MPC_1045862,HV,0,0.4837836304131868
SMSEMOA__100__25000__0_85__0_005,MPC_1045862,HV,1,0.4835841081327825
SMSEMOA__100__25000__0_85__0_005,MPC_1045862,HV,2,0.4595845597603869
SMSEMOA__100__25000__0_85__0_005,MPC_1005583,HV,0,0.11361834417855655
SMSEMOA__100__25000__0_85__0_005,MPC_1005583,HV,1,0.13028539408864828
SMSEMOA__100__25000__0_85__0_005,MPC_1005583,HV,2,0.1300537375436682
SMSEMOA__100__25000__0_85__0_005,MPC_1046202,HV,0,0.7186349956214535
SMSEMOA__100__25000__0_85__0_005,MPC_1046202,HV,1,0.7276572169681883
SMSEMOA__100__25000__0_85__0_005,MPC_1046202,HV,2,0.7186349956214535
SMSEMOA__100__25000__0_85__0_005,MPC_1046653,HV,0,0.8288865913721641
SMSEMOA__100__25000__0_85__0_005,MPC_1046653,HV,1,0.812345133830843
SMSEMOA__100__25000__0_85__0_005,MPC_1046653,HV,2,0.824565568884106
SMSEMOA__100__25000__0_85__0_005,MPC_1001485,HV,0,0.6782266368532208
SMSEMOA__100__25000__0_85__0_005,MPC_1001485,HV,1,0.6942389267590288
SMSEMOA__100__25000__0_85__0_005,MPC_1001485,HV,2,0.6952911464163809
SMSEMOA__100__25000__0_85__0_005,MPC_1042576,HV,0,0.9570911258037005
SMSEMOA__100__25000__0_85__0_005,MPC_1042576,HV,1,0.9516430863045603
SMSEMOA__100__25000__0_85__0_005,MPC_1042576,HV,2,0.9530484104248088
SMSEMOA__100__25000__0_85__0_01,MPC_1045862,HV,0,0.4721693717590503
SMSEMOA__100__25000__0_85__0_01,MPC_1045862,HV,1,0.4792686148409468
SMSEMOA__100__25000__0_85__0_01,MPC_1045862,HV,2,0.48553944307726465
SMSEMOA__100__25000__0_85__0_01,MPC_1005583,HV,0,0.12890708528548322
SMSEMOA__100__25000__0_85__0_01,MPC_1005583,HV,1,0.12667492527357715
SMSEMOA__100__25000__0_85__0_01,MPC_1005583,HV,2,0.11986367398542766
SMSEMOA__100__25000__0_85__0_01,MPC_1046202,HV,0,0.7344049278030043
SMSEMOA__100__25000__0_85__0_01,MPC_1046202,HV,1,0.7266541975202073
SMSEMOA__100__25000__0_85__0_01,MPC_1046202,HV,2,0.7306252867133124
SMSEMOA__100__25000__0_85__0_01,MPC_1046653,HV,0,0.8311225975738876
SMSEMOA__100__25000__0_85__0_01,MPC_1046653,HV,1,0.8193234889701426
SMSEMOA__100__25000__0_85__0_01,MPC_1046653,HV,2,0.8129555495645369
SMSEMOA__100__25000__0_85__0_01,MPC_1001485,HV,0,0.6793265015115505
SMSEMOA__100__25000__0_85__0_01,MPC_1001485,HV,1,0.6864623725601503
SMSEMOA__100__25000__0_85__0_01,MPC_1001485,HV,2,0.7038780506430872
SMSEMOA__100__25000__0_85__0_01,MPC_1042576,HV,0,0.9567250720633018
SMSEMOA__100__25000__0_85__0_01,MPC_1042576,HV,1,0.961777125758636
SMSEMOA__100__25000__0_85__0_01,MPC_1042576,HV,2,0.9629339449903854
SMSEMOA__100__25000__0_85__0_015,MPC_1045862,HV,0,0.4745366031523638
SMSEMOA__100__25000__0_85__0_015,MPC_1045862,HV,1,0.4893149307218428
SMSEMOA__100__25000__0_85__0_015,MPC_1045862,HV,2,0.47647730970298846
SMSEMOA__100__25000__0_85__0_015,MPC_1005583,HV,0,0.12383516453266863
SMSEMOA__100__25000__0_85__0_015,MPC_1005583,HV,1,0.12898599221561108
SMSEMOA__100__25000__0_85__0_015,MPC_1005583,HV,2,0.130579915012353
SMSEMOA__100__25000__0_85__0_015,MPC_1046202,HV,0,0.7348571677319289
SMSEMOA__100__25000__0_85__0_015,MPC_1046202,HV,1,0.7271870771011546
SMSEMOA__100__25000__0_85__0_015,MPC_1046202,HV,2,0.7303407394528718
SMSEMOA__100__25000__0_85__0_015,MPC_1046653,HV,0,0.8393255470479192
SMSEMOA__100__25000__0_85__0_015,MPC_1046653,HV,1,0.8165487012077103
SMSEMOA__100__25000__0_85__0_015,MPC_1046653,HV,2,0.8133803742950646
SMSEMOA__100__25000__0_85__0_015,MPC_1001485,HV,0,0.7050917088980506
SMSEMOA__100__25000__0_85__0_015,MPC_1001485,HV,1,0.6869589609677302
SMSEMOA__100__25000__0_85__0_015,MPC_1001485,HV,2,0.7038742697976852
SMSEMOA__100__25000__0_85__0_015,MPC_1042576,HV,0,0.9623418484671928
SMSEMOA__100__25000__0_85__0_015,MPC_1042576,HV,1,0.9576708957356996
SMSEMOA__100__25000__0_85__0_015,MPC_1042576,HV,2,0.9551259354022836
SMSEMOA__100__25000__0_9__0_005,MPC_1045862,HV,0,0.49921405569622185
SMSEMOA__100__25000__0_9__0_005,MPC_1045862,HV,1,0.4859959044721698
SMSEMOA__100__25000__0_9__0_005,MPC_1045862,HV,2,0.475389788752819
SMSEMOA__100__25000__0_9__0_005,MPC_1005583,HV,0,0.1305884949555968
SMSEMOA__100__25000__0_9__0_005,MPC_1005583,HV,1,0.126550222893419
SMSEMOA__100__25000__0_9__0_005,MPC_1005583,HV,2,0.13467041913863692
SMSEMOA__100__25000__0_9__0_005,MPC_1046202,HV,0,0.7301729636412673
SMSEMOA__100__25000__0_9__0_005,MPC_1046202,HV,1,0.7412441563416456
SMSEMOA__100__25000__0_9__0_005,MPC_1046202,HV,2,0.7334302473778787
SMSEMOA__100__25000__0_9__0_005,MPC_1046653,HV,0,0.8241458736577398
SMSEMOA__100__25000__0_9__0_005,MPC_1046653,HV,1,0.8165722541173734
SMSEMOA__100__25000__0_9__0_005,MPC_1046653,HV,2,0.8219948382044229
SMSEMOA__100__25000__0_9__0_005,MPC_1001485,HV,0,0.6928191780920067
SMSEMOA__100__25000__0_9__0_005,MPC_1001485,HV,1,0.6878339759365714
SMSEMOA__100__25000__0_9__0_005,MPC_1001485,HV,2,0.6981295363366059
SMSEMOA__100__25000__0_9__0_005,MPC_1042576,HV,0,0.963481099643515
SMSEMOA__100__25000__0_9__0_005,MPC_1042576,HV,1,0.9614423066525407
SMSEMOA__100__25000__0_9__0_005,MPC_1042576,HV,2,0.9589750336413284
SMSEMOA__100__25000__0_9__0_01,MPC_1045862,HV,0,0.4742600990973416
SMSEMOA__100__25000__0_9__0_01,MPC_1045862,HV,1,0.4853412266498802
SMSEMOA__100__25000__0_9__0_01,MPC_1045862,HV,2,0.478846061963996
SMSEMOA__100__25000__0_9__0_01,MPC_1005583,HV,0,0.1332870916059629
SMSEMOA__100__25000__0_9__0_01,MPC_1005583,HV,1,0.12682708280154836
SMSEMOA__100__25000__0_9__0_01,MPC_1005583,HV,2,0.12239410449388363
SMSEMOA__100__25000__0_9__0_01,MPC_1046202,HV,0,0.7283972189945661
SMSEMOA__100__25000__0_9__0_01,MPC_1046202,HV,1,0.727369441834704
SMSEMOA__100__25000__0_9__0_01,MPC_1046202,HV,2,0.7249218145066828
